STATEMENT DATE,MERCHANT ID,CARD TYPE,MDR,GROSS SALES,COUNT,GROSS REFUNDS,COUNT,NET MDR,PER TXN FEE,NET AMOUNT

08/02/2024,97897812971,VC,3.400,3929.02,11,-9.72,1,133.26,0.15,3786.04
08/02/2024,97897812971,MC,3.400,2985.01,16,-575.32,2,81.93,0.15,2327.76
08/02/2024,97897812971,OCBC VC,3.400,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,97897812971,OCBC MC,3.400,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,97897812971,CUP,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,97897812971,JCB,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,97897812971,ALIPAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,97897812971,WECHAT PAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,97897812971,TOTAL, ,6914.03,27,-585.04,3,215.19,0.00,6109.75
,,,,,,,,,,,,,
08/02/2024,84084001373,VC,2.750,611.13,3,0.00,0,16.81,0.15,594.32
08/02/2024,84084001373,MC,2.750,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,84084001373,OCBC VC,2.750,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,84084001373,OCBC MC,2.750,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,84084001373,CUP,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001373,JCB,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001373,ALIPAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001373,WECHAT PAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001373,TOTAL, ,611.13,3,0.00,0,16.81,0.00,593.87
,,,,,,,,,,,,,
08/02/2024,84084001371,VC,2.750,19413.89,93,-1322.19,8,497.52,0.15,17594.18
08/02/2024,84084001371,MC,2.750,26138.70,56,-719.54,2,699.03,0.15,24720.13
08/02/2024,84084001371,OCBC VC,2.750,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,84084001371,OCBC MC,2.750,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,84084001371,CUP,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001371,JCB,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001371,ALIPAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001371,WECHAT PAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,84084001371,TOTAL, ,45552.59,149,-2041.73,10,1196.55,0.00,42291.96
,,,,,,,,,,,,,
08/02/2024,70270201374,VC,2.050,15036.57,52,-1811.14,4,271.12,0.15,12954.31
08/02/2024,70270201374,MC,2.050,15530.67,45,0.00,0,318.38,0.15,15212.29
08/02/2024,70270201374,VC INTL,2.850,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,70270201374,MC INTL,2.850,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,70270201374,VC INTL PREM,2.850,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,70270201374,MC INTL PREM,2.850,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,70270201374,VC INTL SUPER,2.850,170.36,1,-188.16,1,-0.51,0.15,-17.29
08/02/2024,70270201374,MC INTL SUPER,2.850,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,70270201374,OCBC VC,2.050,4551.52,13,-126.82,1,90.71,0.15,4333.99
08/02/2024,70270201374,OCBC MC,2.050,1386.31,4,0.00,0,28.42,0.15,1357.89
08/02/2024,70270201374,CUP,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201374,JCB,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201374,ALIPAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201374,WECHAT PAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201374,TOTAL, ,36675.43,115,-2126.12,6,708.12,0.00,33823.94
,,,,,,,,,,,,,
08/02/2024,70270201371,VC,2.050,34955.08,89,-1228.06,4,691.40,0.15,33035.62
08/02/2024,70270201371,MC,2.050,41955.12,109,-1056.68,7,838.42,0.15,40060.02
08/02/2024,70270201371,VC INTL,2.850,60.80,1,0.00,0,1.73,0.15,59.07
08/02/2024,70270201371,MC INTL,2.850,625.25,4,0.00,0,17.82,0.15,607.43
08/02/2024,70270201371,VC INTL PREM,2.850,2321.89,2,-118.40,1,62.80,0.15,2140.69
08/02/2024,70270201371,MC INTL PREM,2.850,473.25,1,0.00,0,13.49,0.15,459.76
08/02/2024,70270201371,VC INTL SUPER,2.850,64.42,1,0.00,0,1.84,0.15,62.58
08/02/2024,70270201371,MC INTL SUPER,2.850,1870.08,2,-1695.59,2,4.97,0.15,169.52
08/02/2024,70270201371,OCBC VC,2.050,1278.48,11,-173.98,2,22.64,0.15,1081.86
08/02/2024,70270201371,OCBC MC,2.050,1678.92,4,0.00,0,34.42,0.15,1644.50
08/02/2024,70270201371,CUP,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201371,JCB,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201371,ALIPAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201371,WECHAT PAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,70270201371,TOTAL, ,85283.29,224,-4272.71,16,1689.54,0.00,79287.44
,,,,,,,,,,,,,
08/02/2024,03603609572,VC,3.400,451.36,1,0.00,0,15.35,0.15,436.01
08/02/2024,03603609572,MC,3.400,3389.59,2,0.00,0,115.25,0.15,3274.34
08/02/2024,03603609572,OCBC VC,3.400,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,03603609572,OCBC MC,3.400,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,03603609572,CUP,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609572,JCB,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609572,ALIPAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609572,WECHAT PAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609572,TOTAL, ,3840.95,3,0.00,0,130.60,0.00,3709.90
,,,,,,,,,,,,,
08/02/2024,03603609571,VC,3.400,26306.17,74,-798.21,7,867.27,0.15,24640.69
08/02/2024,03603609571,MC,3.400,50644.66,117,-793.42,5,1694.94,0.15,48156.30
08/02/2024,03603609571,OCBC VC,3.400,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,03603609571,OCBC MC,3.400,0.00,0,0.00,0,0.00,0.15,0.00
08/02/2024,03603609571,CUP,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609571,JCB,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609571,ALIPAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609571,WECHAT PAY,0.000,0.00,0,0.00,0,0.00,0.00,0.00
08/02/2024,03603609571,TOTAL, ,76950.83,191,-1591.63,12,2562.21,0.00,72768.34
,,,,,,,,,,,,,
,,GRAND TOTAL, ,255828.25,712,-10617.23,47,6519.02,0.00,238585.20